__atable_index,file_path,task_name,task_apply_time,task_label,param_dict,family_label,compressed_size_bytes,compression_ratio,lossless_reconstruction,compression_time_seconds,decompression_time_seconds,repetitions,compressed_file_sha256,compression_memory_kb,decompression_memory_kb,bpppc,compression_ratio_dr,compression_efficiency_1byte_entropy,compression_efficiency_2byte_entropy,row_created,row_updated
"('../../../media/arnau/Data/data/D1/1_1_0001_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0001_s32be-1x2463x2527.raw,BZIP2__compression_level=9,2.2700000000000498e-05,BZIP2 level 9,{'compression_level': 9},No family,2897576,8.592010701358653,True,1.597719327,0.524514098,1,f7e595a760ec2e5aecb8f4464aa2a6f1ab81d9437b9eb5e3806837e79669cff3,-1,-1,3.724390147109552,5.1015063539317005,2.3964212713515414,1.8802865863566207,2025-02-03T12:02:09.620292,2025-02-03T12:02:09.621796
"('../../../media/arnau/Data/data/D1/1_1_0002_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0002_s32be-1x2463x2527.raw,BZIP2__compression_level=9,9.842000000000356e-06,BZIP2 level 9,{'compression_level': 9},No family,2909425,8.557018654888852,True,1.955949755,1.716317015,1,1836e90708f6874141a91abc410719e3a471b3890a9a6b0baf5c1a03789f57c8,-1,-1,3.739620221783384,5.0807298263402565,2.396375841650249,1.8817612160210568,2025-02-03T12:02:12.151112,2025-02-03T12:02:12.153907
"('../../../media/arnau/Data/data/D1/1_1_0003_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0003_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.2928000000000592e-05,BZIP2 level 9,{'compression_level': 9},No family,2913422,8.545279056724361,True,2.022509671,2.332090086,1,2cb046f2ca17b83322e708d283ff5ea8ce23fa082833a694e7c5df41bac43e08,-1,-1,3.744757753091621,5.073759439930089,2.39536715378141,1.8813302676273287,2025-02-03T12:02:13.319778,2025-02-03T12:02:13.322670
"('../../../media/arnau/Data/data/D1/1_1_0004_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0004_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.0531000000001124e-05,BZIP2 level 9,{'compression_level': 9},No family,2916112,8.537396368863748,True,1.754284294,0.899425718,1,7a4c3a9d3a553662553656de46df3b952029adce7a9e14b2258985f8ff981e4b,-1,-1,3.7482153360836543,5.06907909401285,2.394833349018409,1.8811889474473231,2025-02-03T12:02:10.908834,2025-02-03T12:02:10.910354
"('../../../media/arnau/Data/data/D1/1_1_0005_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0005_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.4065000000000605e-05,BZIP2 level 9,{'compression_level': 9},No family,2917381,8.533682779177626,True,1.954466316,2.292339677,1,27fec86adac46b0e863c197d15f379351970d70f41679224ffc03cfa61877a2d,-1,-1,3.7498464412200447,5.066874150136715,2.3944792962473267,1.8809433453144555,2025-02-03T12:02:13.334422,2025-02-03T12:02:13.337301
"('../../../media/arnau/Data/data/D1/1_1_0006_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0006_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.3748000000000926e-05,BZIP2 level 9,{'compression_level': 9},No family,2917064,8.534610142252621,True,1.990504439,2.237804429,1,89e31ddd1951bfb2377825950d9c6808f1ca482394174b5fa67cde99881b7868,-1,-1,3.749438986272657,5.067424771962494,2.395585195400564,1.8820251960803,2025-02-03T12:02:13.238602,2025-02-03T12:02:13.241522
"('../../../media/arnau/Data/data/D1/1_1_0007_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0007_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.3441000000001188e-05,BZIP2 level 9,{'compression_level': 9},No family,2919344,8.527944634136984,True,1.632577527,2.372411883,1,f62dc93931c3f2db371b98330a5d3ae72461fb0597f6fdce407cc674eea4c098,-1,-1,3.7523695770614434,5.063467126518835,2.395018268692935,1.8816956871802968,2025-02-03T12:02:13.355367,2025-02-03T12:02:13.357380
"('../../../media/arnau/Data/data/D1/1_1_0008_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0008_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.31230000000003e-05,BZIP2 level 9,{'compression_level': 9},No family,2919362,8.527892053126676,True,1.574089539,2.251730895,1,22983018d60674eeac0c4dfd24123e31dbe3e048cfd047439eb69021abec19fc,-1,-1,3.7523927133045127,5.0634359065439645,2.3949405133306816,1.8817045605069025,2025-02-03T12:02:13.228721,2025-02-03T12:02:13.231163
"('../../../media/arnau/Data/data/D1/1_1_0009_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0009_s32be-1x2463x2527.raw,BZIP2__compression_level=9,2.1800000000737896e-06,BZIP2 level 9,{'compression_level': 9},No family,2921667,8.52116411623912,True,1.250694338,2.272080959,1,9090f5f147d9f50ff72469f714aff175f60e2cd2c792e6212372ec8b7a5009f5,-1,-1,3.755355437764229,5.059441194016977,2.3945695930719,1.8816837670237097,2025-02-03T12:02:13.345887,2025-02-03T12:02:13.346692
"('../../../media/arnau/Data/data/D1/1_1_0010_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",../../../media/arnau/Data/data/D1/1_1_0010_s32be-1x2463x2527.raw,BZIP2__compression_level=9,3.085999999985489e-06,BZIP2 level 9,{'compression_level': 9},No family,2921616,8.521312862470634,True,2.517589632,1.638372185,1,16edd6dc7b53ba9e9ba515ca72bffa001370b981aa6d233fd70331b0c4f64615,-1,-1,3.7552898850755327,5.059529512091938,2.3953288706919817,1.882300381959804,2025-02-03T12:02:15.267352,2025-02-03T12:02:15.268013
