__atable_index,file_path,task_name,task_apply_time,task_label,param_dict,family_label,compressed_size_bytes,compression_ratio,lossless_reconstruction,compression_time_seconds,decompression_time_seconds,repetitions,compressed_file_sha256,compression_memory_kb,decompression_memory_kb,bpppc,compression_ratio_dr,compression_efficiency_1byte_entropy,compression_efficiency_2byte_entropy,row_created,row_updated
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'ArithmeticCodec')",data/D1/1_1_0001_s32be-1x2463x2527.raw,ArithmeticCodec,9.012999999999556e-06,Arithmetic Coder,{},No family,6944840,3.5848203846308913,True,10.049999999999999,30.89,1,de05d9d9991f9823c11043fc6153bb5286bf2fc7c817ed538691df88738e327a,3968,3968,8.926528128771187,2.128487103374592,0.9998520861182855,0.7845066676480486,2025-01-19T19:59:32.056648,2025-01-19T19:59:32.058882
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'BWT')",data/D1/1_1_0001_s32be-1x2463x2527.raw,BWT,1.0437999999999767e-05,BWT,{},No family,24920320,0.9990242500898865,True,143.78,0.18000000000000002,1,24c4f9e45ccb58d8f6b44787d273fc077188609047b1da09d13b92cbd198cb88,1536,1536,32.03125449369304,0.5931706484908701,0.27864059377077477,0.21862774176851957,2025-01-19T20:01:16.252007,2025-01-19T20:01:16.254181
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.2468000000000722e-05,BZIP2 level 9,{'compression_level': 9},No family,2897576,8.592010701358653,True,1.801132885,0.938164103,1,f7e595a760ec2e5aecb8f4464aa2a6f1ab81d9437b9eb5e3806837e79669cff3,-1,-1,3.724390147109552,5.1015063539317005,2.3964212713515414,1.8802865863566214,2025-01-19T19:58:53.707170,2025-01-19T19:58:53.708959
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'FSE')",data/D1/1_1_0001_s32be-1x2463x2527.raw,FSE,1.1399000000000478e-05,FSE,{},No family,5803836,4.289577444986385,True,0.11,0.08,1,3a2caef8fdefb2b8bd98626e45aaa9cdce0960a812fdd116982cbd1d95058286,1920,1792,7.459942246153238,2.546936607960666,1.196417810868142,0.9387366020936625,2025-01-19T19:58:51.219087,2025-01-19T19:58:51.220824
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'FSEHuffman')",data/D1/1_1_0001_s32be-1x2463x2527.raw,FSEHuffman,1.0317999999999612e-05,Huffman (block adaptive),{},No family,6363236,3.9124753505920573,True,0.08,0.05,1,8f54e9b806b99687d4966056c8fb31e796c946971094a33ea2a5a4eaeed5760a,1792,1792,8.17896526687576,2.323032239414034,1.0912392313844266,0.8562110985273647,2025-01-19T19:58:51.193960,2025-01-19T19:58:51.195582
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'HuffmanCodec')",data/D1/1_1_0001_s32be-1x2463x2527.raw,HuffmanCodec,1.0750000000000343e-05,Huffman,{},No family,7313425,3.404151133019071,True,3.89,4.77,1,15ac36c255dbf7b6a79fb375799c953662688a43ce74e81f15e52515012c43b8,3968,4352,9.400287692755834,2.0212147352300733,0.9494611296017548,0.744968778068945,2025-01-19T19:58:59.766544,2025-01-19T19:58:59.768103
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'LPAQ8__N=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,LPAQ8__N=9,1.4039000000000412e-05,LPAQ8 N9,{'N': 9},No family,2615441,9.518855137623062,True,24.43,28.96,1,48757c267811c700f32e78b7d081975df591ce2dcfc4aa0c0699a4b915f8d3e1,602496,602752,3.3617488171997403,5.651820237963693,2.654929995269522,2.083118405557179,2025-01-19T19:59:44.625958,2025-01-19T19:59:44.628100
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'LZ77Huffman__compression_level=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,LZ77Huffman__compression_level=9,9.424000000000064e-06,LZ77 Huffman level 9,{'compression_level': 9},No family,4293595,5.798405299055919,True,25.695774799,0.160651674,1,45ea61ee60565b48a8a42042ad4845ba36f1b8e7ac4650f0dff0ca509b77bf51,-1,-1,5.518758753412797,3.442803146314452,1.6172491261420123,1.2689304151297163,2025-01-19T19:59:16.934681,2025-01-19T19:59:16.937313
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'Lz4__compression_level=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,Lz4__compression_level=9,4.734000000006233e-06,LZ4 level 9,{'compression_level': 9},No family,5709989,4.360079152516756,True,8.51,0.03,1,5bd04e13b4727d9af98b469a20344aec6d4e329b307064b0edd76fd87d9f9404,7296,7040,7.339316301523731,2.588796996806824,1.2160816354913668,0.9541652857385319,2025-01-19T19:58:59.913495,2025-01-19T19:58:59.914341
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'RLECodec__packbits=True')",data/D1/1_1_0001_s32be-1x2463x2527.raw,RLECodec__packbits=True,4.3680000000045904e-06,RLE packbits,{'packbits': True},No family,21995839,1.1318506195649096,True,0.43,0.23,1,8a24298ab05c1a642249bbf3c85051e7643f71b078ae83152e24f55981e13aa6,1280,1280,28.27228208992897,0.672036305366665,0.3156875608044646,0.24769563396735508,2025-01-19T19:58:52.070250,2025-01-19T19:58:52.071100
