__atable_index,file_path,task_name,task_apply_time,task_label,param_dict,family_label,compressed_size_bytes,compression_ratio,lossless_reconstruction,compression_time_seconds,decompression_time_seconds,repetitions,compressed_file_sha256,compression_memory_kb,decompression_memory_kb,bpppc,compression_ratio_dr,compression_efficiency_1byte_entropy,compression_efficiency_2byte_entropy,row_created,row_updated
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'ArithmeticCodec')",data/D1/1_1_0001_s32be-1x2463x2527.raw,ArithmeticCodec,1.0109999999999807e-05,Arithmetic Coder,{},No family,6944840,3.5848203846308913,True,6.93,12.92,1,de05d9d9991f9823c11043fc6153bb5286bf2fc7c817ed538691df88738e327a,3968,3968,8.926528128771187,2.128487103374592,0.9998520861182855,0.7845066676480486,2024-12-15T17:27:18.772678,2024-12-15T17:27:18.774036
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'BWT')",data/D1/1_1_0001_s32be-1x2463x2527.raw,BWT,9.432999999999664e-06,BWT,{},No family,24920320,0.9990242500898865,True,58.64,0.12,1,24c4f9e45ccb58d8f6b44787d273fc077188609047b1da09d13b92cbd198cb88,1536,1536,32.03125449369304,0.5931706484908701,0.27864059377077477,0.21862774176851957,2024-12-15T17:27:57.692802,2024-12-15T17:27:57.693854
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,BZIP2__compression_level=9,1.460000000000003e-05,BZIP2 level 9,{'compression_level': 9},No family,2897576,8.592010701358653,True,1.627058578,0.773614477,1,f7e595a760ec2e5aecb8f4464aa2a6f1ab81d9437b9eb5e3806837e79669cff3,-1,-1,3.724390147109552,5.1015063539317005,2.3964212713515414,1.8802865863566214,2024-12-15T17:27:01.273246,2024-12-15T17:27:01.274912
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'FSE')",data/D1/1_1_0001_s32be-1x2463x2527.raw,FSE,1.1160999999999983e-05,FSE,{},No family,5803836,4.289577444986385,True,0.09999999999999999,0.06,1,3a2caef8fdefb2b8bd98626e45aaa9cdce0960a812fdd116982cbd1d95058286,1920,1792,7.459942246153238,2.546936607960666,1.196417810868142,0.9387366020936625,2024-12-15T17:26:59.085883,2024-12-15T17:26:59.087319
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'FSEHuffman')",data/D1/1_1_0001_s32be-1x2463x2527.raw,FSEHuffman,8.636000000000234e-06,Huffman (block adaptive),{},No family,6363236,3.9124753505920573,True,0.07,0.04,1,8f54e9b806b99687d4966056c8fb31e796c946971094a33ea2a5a4eaeed5760a,1920,1792,8.17896526687576,2.323032239414034,1.0912392313844266,0.8562110985273647,2024-12-15T17:26:59.082877,2024-12-15T17:26:59.084373
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'HuffmanCodec')",data/D1/1_1_0001_s32be-1x2463x2527.raw,HuffmanCodec,8.51700000000042e-06,Huffman,{},No family,7313425,3.404151133019071,True,3.92,5.05,1,15ac36c255dbf7b6a79fb375799c953662688a43ce74e81f15e52515012c43b8,4224,4224,9.400287692755834,2.0212147352300733,0.9494611296017548,0.744968778068945,2024-12-15T17:27:07.958443,2024-12-15T17:27:07.960020
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'LPAQ8__N=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,LPAQ8__N=9,1.2852000000000696e-05,LPAQ8 N9,{'N': 9},No family,2615441,9.518855137623062,True,20.09,13.59,1,48757c267811c700f32e78b7d081975df591ce2dcfc4aa0c0699a4b915f8d3e1,602752,602880,3.3617488171997403,5.651820237963693,2.654929995269522,2.083118405557179,2024-12-15T17:27:32.646486,2024-12-15T17:27:32.647603
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'LZ77Huffman__compression_level=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,LZ77Huffman__compression_level=9,9.221000000000229e-06,LZ77 Huffman level 9,{'compression_level': 9},No family,4293595,5.798405299055919,True,21.875264098,0.088886651,1,45ea61ee60565b48a8a42042ad4845ba36f1b8e7ac4650f0dff0ca509b77bf51,-1,-1,5.518758753412797,3.442803146314452,1.6172491261420123,1.2689304151297163,2024-12-15T17:27:20.908947,2024-12-15T17:27:20.910393
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'Lz4__compression_level=9')",data/D1/1_1_0001_s32be-1x2463x2527.raw,Lz4__compression_level=9,7.974999999993404e-06,LZ4 level 9,{'compression_level': 9},No family,5709989,4.360079152516756,True,7.12,0.03,1,5bd04e13b4727d9af98b469a20344aec6d4e329b307064b0edd76fd87d9f9404,7296,7040,7.339316301523731,2.588796996806824,1.2160816354913668,0.9541652857385319,2024-12-15T17:27:06.343167,2024-12-15T17:27:06.343988
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'RLECodec__packbits=True')",data/D1/1_1_0001_s32be-1x2463x2527.raw,RLECodec__packbits=True,4.524000000005746e-06,RLE packbits,{'packbits': True},No family,21995839,1.1318506195649096,True,0.4,0.21000000000000002,1,8a24298ab05c1a642249bbf3c85051e7643f71b078ae83152e24f55981e13aa6,1280,1280,28.27228208992897,0.672036305366665,0.3156875608044646,0.24769563396735508,2024-12-15T17:26:59.873131,2024-12-15T17:26:59.873912
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'Zfp')",data/D1/1_1_0001_s32be-1x2463x2527.raw,Zfp,3.6679999999844615e-06,ZFP,{},No family,5773944,4.31178480428629,True,0.26,0.26,1,aa159be42da0497b8d3ca47be78fa7ec11945337ac84d09fddf584feb65d4a25,31872,32000,7.421520658496038,2.560122227544985,1.202611726362035,0.9435964889421986,2024-12-15T17:27:00.499904,2024-12-15T17:27:00.500678
"('data/D1/1_1_0001_s32be-1x2463x2527.raw', 'Zstandard__compression_level=22')",data/D1/1_1_0001_s32be-1x2463x2527.raw,Zstandard__compression_level=22,4.446999999963008e-06,Zstandard 22,{'compression_level': 22},No family,3498234,7.11673490109581,True,15.73,0.05,1,ac2591c16069cacf771f2178801a6d181f952caa31706c93943d48ccd358ec34,420608,26368,4.496444007640744,4.2255613475256375,1.9849480514332987,1.5574353475922063,2024-12-15T17:27:16.430935,2024-12-15T17:27:16.431689
